Date,TSLA,META,KO,AMZN
2013-01-14,2.2173330783843994,30.950000762939453,27.00345230102539,13.636500358581543
2013-01-15,2.259999990463257,30.100000381469727,27.244356155395508,13.595000267028809
2013-01-16,2.2733330726623535,29.850000381469727,27.244356155395508,13.446499824523926
2013-01-17,2.2920000553131104,30.139999389648438,27.38304901123047,13.52400016784668
2013-01-18,2.301332950592041,29.65999984741211,27.52176856994629,13.605999946594238
2013-01-22,2.3459999561309814,30.729999542236328,27.105648040771484,13.509499549865723
2013-01-23,2.4000000953674316,30.81999969482422,27.105648040771484,13.405500411987305
2013-01-24,2.4660000801086426,31.079999923706055,27.091041564941406,13.67300033569336
2013-01-25,2.4653329849243164,31.540000915527344,27.047252655029297,14.19950008392334
2013-01-28,2.5353329181671143,32.470001220703125,27.018047332763672,13.802000045776367
2013-01-29,2.5299999713897705,30.790000915527344,27.317363739013672,13.017499923706055
2013-01-30,2.501332998275757,31.239999771118164,27.375762939453125,13.637999534606934
2013-01-31,2.500667095184326,30.979999542236328,27.18595314025879,13.274999618530273
2013-02-01,2.553333044052124,29.729999542236328,27.404964447021484,13.25
2013-02-04,2.5160000324249268,28.110000610351562,27.26625633239746,12.99899959564209
2013-02-05,2.5420000553131104,28.639999389648438,27.842979431152344,13.344499588012695
2013-02-06,2.611332893371582,29.049999237060547,27.967077255249023,13.111000061035156
2013-02-07,2.631999969482422,28.649999618530273,28.405080795288086,13.011500358581543
2013-02-08,2.615999937057495,28.549999237060547,28.30288314819336,13.09749984741211
2013-02-11,2.561332941055298,28.260000228881836,28.186077117919922,12.86050033569336
2013-02-12,2.5260000228881836,27.3700008392334,27.419567108154297,12.9350004196167
2013-02-13,2.563333034515381,27.90999984741211,27.164060592651367,13.47350025177002
2013-02-14,2.551332950592041,28.5,26.893943786621094,13.461999893188477
2013-02-15,2.4693329334259033,28.31999969482422,27.317363739013672,13.254500389099121
2013-02-19,2.618666887283325,28.93000030517578,27.499868392944336,13.487500190734863
2013-02-20,2.569333076477051,28.459999084472656,27.543657302856445,13.320500373840332
2013-02-21,2.3440001010894775,27.280000686645508,27.529064178466797,13.29699993133545
2013-02-22,2.4073328971862793,27.1299991607666,28.120378494262695,13.270999908447266
2013-02-25,2.2920000553131104,27.270000457763672,27.536357879638672,12.993499755859375
2013-02-26,2.295332908630371,27.389999389648438,27.821063995361328,12.968000411987305
2013-02-27,2.3399999141693115,26.8700008392334,28.06928062438965,13.162500381469727
2013-02-28,2.322000026702881,27.25,28.266382217407227,13.213500022888184
2013-03-01,2.309999942779541,27.780000686645508,28.25178337097168,13.286999702453613
2013-03-04,2.371999979019165,27.719999313354492,28.339387893676758,13.655500411987305
2013-03-05,2.4433329105377197,27.520000457763672,28.2371768951416,13.779500007629395
2013-03-06,2.512666940689087,27.450000762939453,28.485397338867188,13.689499855041504
2013-03-07,2.5486669540405273,28.579999923706055,28.558399200439453,13.694000244140625
2013-03-08,2.564666986465454,27.959999084472656,28.63140296936035,13.709500312805176
2013-03-11,2.6066670417785645,28.139999389648438,28.69709587097168,13.562000274658203
2013-03-12,2.6080000400543213,27.829999923706055,28.441591262817383,13.706500053405762
2013-03-13,2.5986669063568115,27.079999923706055,28.375410079956055,13.755000114440918
2013-03-14,2.456666946411133,27.040000915527344,28.69159698486328,13.286999702453613
2013-03-15,2.3526670932769775,26.649999618530273,28.551889419555664,13.090999603271484
2013-03-18,2.3433330059051514,26.489999771118164,28.500404357910156,12.894499778747559
2013-03-19,2.3386669158935547,26.549999237060547,28.919530868530273,12.820500373840332
2013-03-20,2.396667003631592,25.860000610351562,29.316598892211914,12.86400032043457
2013-03-21,2.4006669521331787,25.739999771118164,29.46365737915039,12.669500350952148
2013-03-22,2.441333055496216,25.729999542236328,29.441608428955078,12.887499809265137
2013-03-25,2.502000093460083,25.1299991607666,29.500425338745117,12.800999641418457
2013-03-26,2.5239999294281006,25.209999084472656,29.919544219970703,13.01550006866455
2013-03-27,2.5439999103546143,26.09000015258789,29.573957443237305,13.265000343322754
2013-03-28,2.5260000228881836,25.579999923706055,29.735719680786133,13.32450008392334
2013-04-01,2.9286670684814453,25.530000686645508,29.743083953857422,13.080499649047852
2013-04-02,2.9560000896453857,25.420000076293945,29.941606521606445,13.166000366210938
2013-04-03,2.740000009536743,26.25,29.537193298339844,12.951499938964844
2013-04-04,2.8006670475006104,27.06999969482422,29.80925178527832,12.954000473022461
2013-04-05,2.757999897003174,27.389999389648438,29.47101402282715,12.77400016784668
2013-04-08,2.7886669635772705,26.850000381469727,30.044557571411133,12.947500228881836
2013-04-09,2.700000047683716,26.59000015258789,29.93426513671875,13.057000160217285
2013-04-10,2.7906670570373535,27.56999969482422,30.19896125793457,13.238499641418457
2013-04-11,2.9059998989105225,28.020000457763672,30.279844284057617,13.492500305175781
2013-04-12,2.9166669845581055,27.399999618530273,30.206329345703125,13.643500328063965
2013-04-15,2.886667013168335,26.520000457763672,29.47835922241211,13.38599967956543
2013-04-16,3.0393331050872803,26.920000076293945,31.154863357543945,13.616999626159668
2013-04-17,3.0299999713897705,26.6299991607666,31.287214279174805,13.369999885559082
2013-04-18,3.131333112716675,25.690000534057617,30.956329345703125,12.970999717712402
2013-04-19,3.188667058944702,25.729999542236328,31.36809539794922,13.015999794006348
2013-04-22,3.3459999561309814,25.969999313354492,31.4122257232666,13.177499771118164
2013-04-23,3.4006669521331787,25.979999542236328,31.39751434326172,13.444999694824219
2013-04-24,3.361999988555908,26.110000610351562,30.993085861206055,13.439000129699707
