,Date,TSLA,META,KO,AMZN,TSLA_z_norm,META_z_norm,KO_z_norm,AMZN_z_norm
0,2013-01-14,2.2173330783843994,30.950000762939453,27.00345230102539,13.636500358581545,-0.6993499411632326,-1.4946185426726728,-1.4162996057526724,-1.1356633520710981
1,2013-01-15,2.259999990463257,30.100000381469727,27.244356155395508,13.595000267028809,-0.6989312448887242,-1.5047864261221318,-1.3918839876438212,-1.136443751702751
2,2013-01-16,2.273333072662353,29.850000381469727,27.244356155395508,13.446499824523926,-0.6988004055199375,-1.5077769787357311,-1.3918839876438212,-1.139236268208018
3,2013-01-17,2.2920000553131104,30.13999938964844,27.38304901123047,13.52400016784668,-0.69861722385266,-1.504307949568331,-1.3778274595266338,-1.1377788921609027
4,2013-01-18,2.301332950592041,29.65999984741211,27.52176856994629,13.605999946594238,-0.698525638868107,-1.5100498051105762,-1.3637682250710892,-1.1362369052703702
5,2013-01-22,2.345999956130981,30.729999542236328,27.105648040771484,13.509499549865724,-0.6980873154014818,-1.497250243574948,-1.4059420622400698,-1.1380515729311775
6,2013-01-23,2.400000095367432,30.81999969482422,27.105648040771484,13.405500411987305,-0.6975574046106694,-1.4961736428087637,-1.4059420622400698,-1.1400072526864715
7,2013-01-24,2.4660000801086426,31.07999992370605,27.091041564941406,13.67300033569336,-0.6969097376860586,-1.4930634653526875,-1.4074224293214344,-1.1349769784360617
8,2013-01-25,2.4653329849243164,31.540000915527344,27.047252655029297,14.19950008392334,-0.6969162839828213,-1.4875608366792898,-1.4118604376074055,-1.125076272336127
9,2013-01-28,2.5353329181671143,32.470001220703125,27.018047332763672,13.802000045776367,-0.6962293650136111,-1.476435977306123,-1.4148203985306038,-1.132551168697686
10,2013-01-29,2.5299999713897705,30.790000915527344,27.317363739013672,13.017499923706056,-0.6962816979535645,-1.496532494520088,-1.384484665265473,-1.147303512207997
11,2013-01-30,2.501332998275757,31.239999771118164,27.375762939453125,13.637999534606934,-0.6965630109021578,-1.4911495135052724,-1.3785659032783721,-1.1356351604123758
12,2013-01-31,2.500667095184326,30.979999542236328,27.18595314025879,13.274999618530272,-0.696569545500749,-1.4942596909613486,-1.3978031362506875,-1.1424612899508197
13,2013-02-01,2.553333044052124,29.729999542236328,27.404964447021484,13.25,-0.6960527273034621,-1.5092124540293455,-1.375606328974939,-1.1429314020002763
14,2013-02-04,2.5160000324249268,28.11000061035156,27.26625633239746,12.99899959564209,-0.6964190812794798,-1.5285912221884501,-1.3896644035711876,-1.1476514066021148
15,2013-02-05,2.5420000553131104,28.63999938964844,27.842979431152344,13.344499588012695,-0.696163939480132,-1.5222512652499272,-1.3312134876629726,-1.1411543590850155
16,2013-02-06,2.611332893371582,29.049999237060547,27.967077255249023,13.111000061035156,-0.6954835668076845,-1.5173467607889126,-1.318636166767854,-1.1455452637318846
17,2013-02-07,2.631999969482422,28.649999618530277,28.40508079528809,13.011500358581545,-0.6952807579482901,-1.5221316404074505,-1.2742444853151833,-1.1474163326437614
18,2013-02-08,2.615999937057495,28.549999237060547,28.30288314819336,13.09749984741211,-0.6954377684663222,-1.5233278660161114,-1.284602222137669,-1.145799132129386
19,2013-02-11,2.561332941055298,28.26000022888184,28.18607711791992,12.86050033569336,-0.6959742232142633,-1.5267968951835116,-1.2964405193514017,-1.150255853180524
20,2013-02-12,2.526000022888184,27.3700008392334,27.419567108154297,12.9350004196167,-0.696320949998164,-1.5374432551867716,-1.3741263485133397,-1.1488548963181036
21,2013-02-13,2.563333034515381,27.90999984741211,27.164060592651367,13.47350025177002,-0.6959545960221464,-1.530983673405772,-1.4000219470837902,-1.1387285314130147
22,2013-02-14,2.551332950592041,28.5,26.893943786621094,13.461999893188477,-0.696072354495579,-1.5239259674123888,-1.4273982993553707,-1.1389447929985947
23,2013-02-15,2.4693329334259038,28.31999969482422,27.317363739013672,13.25450038909912,-0.6968770319382219,-1.5260791689447575,-1.384484665265473,-1.142846773223234
24,2013-02-19,2.618666887283325,28.93000030517578,27.499868392944336,13.487500190734863,-0.6954115973170769,-1.518782213266421,-1.3659878091437228,-1.138465265795939
25,2013-02-20,2.569333076477051,28.459999084472656,27.543657302856445,13.320500373840332,-0.69589571678543,-1.5244044667822956,-1.3615498008577516,-1.1416056587616987
26,2013-02-21,2.344000101089477,27.280000686645508,27.5290641784668,13.29699993133545,-0.6981069402539645,-1.5385198559529558,-1.3630288147699372,-1.142047579152433
27,2013-02-22,2.4073328971862797,27.1299991607666,28.12037849426269,13.270999908447266,-0.6974854468182332,-1.540314205774,-1.3030990782594196,-1.1425365035746629
28,2013-02-25,2.2920000553131104,27.270000457763672,27.536357879638672,12.993499755859377,-0.69861722385266,-1.5386394807954324,-1.3622895977786684,-1.1477548298183053
29,2013-02-26,2.295332908630371,27.38999938964844,27.821063995361328,12.968000411987305,-0.6985845181048234,-1.537204028317924,-1.3334346182146675,-1.148234339087336
30,2013-02-27,2.3399999141693115,26.8700008392334,28.06928062438965,13.162500381469728,-0.6981461946381982,-1.5434243604139704,-1.3082778500157206,-1.144576812106999
31,2013-02-28,2.322000026702881,27.25,28.266382217407227,13.213500022888184,-0.6983228300087128,-1.5388787304803857,-1.288301593362019,-1.1436177756353127
32,2013-03-01,2.309999942779541,27.780000686645508,28.25178337097168,13.286999702453612,-0.6984405884821454,-1.532538750725757,-1.289781187203853,-1.1422356311456656
33,2013-03-04,2.371999979019165,27.71999931335449,28.33938789367676,13.655500411987305,-0.697832173602134,-1.533256499780617,-1.2809024642935531,-1.1353060604574061
