,Region,GDHI per capita (2019)
2,North East,17096
3,North West,18601
4,Yorkshire and The Humber,17959
5,East Midlands,18635
6,West Midlands,18350
7,East of England,22392
8,London,30256
9,South East,24715
10,South West,21222
